,schools,combined
14,"Department of Economics, Harvard UniversityCambridge, Massachusetts (USA)",7.0
19,"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",17.0
16,"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",27.0
12,"Department of Economics, University of ChicagoChicago, Illinois (USA)",29.0
25,"Department of Economics, Stanford UniversityStanford, California (USA)",43.0
28,"Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",55.0
41,"Department of Economics, School of Arts and Sciences, Columbia UniversityNew York City, New York (USA)",61.0
33,"Department of Economics, University of California-San Diego (UCSD)La Jolla, California (USA)",71.0
26,"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",75.0
18,"Economics Department, Dartmouth CollegeHanover, New Hampshire (USA)",81.0
35,"Economics Department, University of MichiganAnn Arbor, Michigan (USA)",88.0
39,"Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",95.0
15,"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",96.0
52,"Finance and Economics Department, Graduate School of Business, Columbia UniversityNew York City, New York (USA)",104.0
48,"Department of Economics, Northwestern UniversityEvanston, Illinois (USA)",110.0
56,"Department of Economics, New York University (NYU)New York City, New York (USA)",111.0
3,"Department of Economics, University of California-IrvineIrvine, California (USA)",129.0
29,"Economics Department, Yale UniversityNew Haven, Connecticut (USA)",131.0
22,"Economics Department, University of California-DavisDavis, California (USA)",138.0
24,"Department of Economics, Duke UniversityDurham, North Carolina (USA)",143.0
20,"Economics Department, Michigan State UniversityEast Lansing, Michigan (USA)",162.0
44,"Department of Economics, Boston CollegeChestnut Hill, Massachusetts (USA)",167.0
45,"Department of Economics, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",176.0
37,"Department of Economics, Cornell UniversityIthaca, New York (USA)",182.0
61,"Department of Economics, Vanderbilt UniversityNashville, Tennessee (USA)",190.0
69,"Economics Department, Georgetown UniversityWashington, District of Columbia (USA)",195.0
