schools,rank_x,us_overall_rank,rank_y,us_urban_rank,rank_diff
"Department of Economics, Maxwell School, Syracuse UniversitySyracuse, New York (USA)",69,69,34.0,23.0,46.0
"Department of Economics, Tufts UniversityMedford, Massachusetts (USA)",63,63,48.0,29.0,34.0
"Department of Economics, Ohio State UniversityColumbus, Ohio (USA)",40,40,25.0,17.0,23.0
"Department of Economics, University of California-IrvineIrvine, California (USA)",29,29,11.0,9.0,20.0
"Department of Economics, University of ChicagoChicago, Illinois (USA)",4,4,5.0,4.0,0.0
"Department of Economics, Harvard UniversityCambridge, Massachusetts (USA)",1,1,3.0,2.0,-1.0
"Department of Economics, University of California-RiversideRiverside, California (USA)",70,70,119.0,72.0,-2.0
"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",2,2,6.0,5.0,-3.0
"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",8,8,13.0,11.0,-3.0
"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",3,3,9.0,7.0,-4.0
"Economics Department, Dartmouth CollegeHanover, New Hampshire (USA)",13,13,26.0,18.0,-5.0
"Department of Economics, Andrew Young School of Policy Studies, Georgia State UniversityAtlanta, Georgia (USA)",45,45,75.0,51.0,-6.0
"Department of Economics, University of MarylandCollege Park, Maryland (USA)",28,28,56.0,35.0,-7.0
"Department of Economics, Stanford UniversityStanford, California (USA)",6,6,17.0,13.0,-7.0
"Department of Economics, Spears School of Business, Oklahoma State UniversityStillwater, Oklahoma (USA)",123,123,247.0,131.0,-8.0
"Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",5,5,19.0,14.0,-9.0
"Economics Department, University of California-DavisDavis, California (USA)",20,20,50.0,30.0,-10.0
"Economics Department, Michigan State UniversityEast Lansing, Michigan (USA)",23,23,54.0,33.0,-10.0
"Department of Economics, Florida State UniversityTallahassee, Florida (USA)",72,72,143.0,82.0,-10.0
"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",11,11,32.0,21.0,-10.0
"Economics Department, Yale UniversityNew Haven, Connecticut (USA)",9,9,31.0,20.0,-11.0
"Carol Martin Gatton College of Business and Economics, University of KentuckyLexington, Kentucky (USA)",56,56,111.0,67.0,-11.0
"Department of Economics, University of Southern CaliforniaLos Angeles, California (USA)",16,16,45.0,27.0,-11.0
"Department of Economics, University of California-Santa Barbara (UCSB)Santa Barbara, California (USA)",32,32,66.0,44.0,-12.0
"Department of Economics, Duke UniversityDurham, North Carolina (USA)",24,24,57.0,36.0,-12.0
"Department of Economics, University of ConnecticutStorrs, Connecticut (USA)",58,58,114.0,70.0,-12.0
"Economics Department, University of MissouriColumbia, Missouri (USA)",68,68,147.0,86.0,-18.0
"Department of Economics, University of Illinois at Urbana-ChampaignUrbana-Champaign, Illinois (USA)",65,65,146.0,85.0,-20.0
"Department of Economics, University of Illinois at ChicagoChicago, Illinois (USA)",76,76,161.0,97.0,-21.0
"Department of Economics, University of California-San Diego (UCSD)La Jolla, California (USA)",14,14,58.0,37.0,-23.0
"Department of Economics, Brigham Young UniversityProvo, Utah (USA)",96,96,215.0,119.0,-23.0
"Department of Economics, University of PittsburghPittsburgh, Pennsylvania (USA)",49,49,125.0,76.0,-27.0
"Economics Department, University of MichiganAnn Arbor, Michigan (USA)",18,18,69.0,46.0,-28.0
"Department of Economics, Tepper School of Business Administration, Carnegie Mellon UniversityPittsburgh, Pennsylvania (USA)",57,57,150.0,88.0,-31.0
"Department of Economics, University of ColoradoBoulder, Colorado (USA)",42,42,121.0,74.0,-32.0
"Department of Economics, Cornell UniversityIthaca, New York (USA)",27,27,97.0,61.0,-34.0
"Department of Economics, School of Arts and Sciences, Columbia UniversityNew York City, New York (USA)",7,7,63.0,41.0,-34.0
"Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",12,12,71.0,48.0,-36.0
"Department of Economics, University of Notre DameSouth Bend, Indiana (USA)",35,35,120.0,73.0,-38.0
"Department of Economics, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",17,17,83.0,56.0,-39.0
"Department of Economics, Boston CollegeChestnut Hill, Massachusetts (USA)",21,21,98.0,62.0,-41.0
"Department of Economics, George Washington UniversityWashington, District of Columbia (USA)",46,46,153.0,91.0,-45.0
"Department of Economics, Texas A&M UniversityCollege Station, Texas (USA)",47,47,157.0,95.0,-48.0
"Economics Department, University of California-Santa Cruz (UCSC)Santa Cruz, California (USA)",41,41,152.0,90.0,-49.0
"Department of Economics, Northwestern UniversityEvanston, Illinois (USA)",15,15,109.0,66.0,-51.0
"Department of Economics, University of HoustonHouston, Texas (USA)",67,67,216.0,120.0,-53.0
"Department of Economics, Terry College of Business, University of GeorgiaAthens, Georgia (USA)",78,78,252.0,132.0,-54.0
"Economics Department, University of Wisconsin-MadisonMadison, Wisconsin (USA)",22,22,134.0,77.0,-55.0
"Economics Department, Barnard College, Columbia UniversityNew York City, New York (USA)",114,114,360.0,170.0,-56.0
"Department of Economics, Tulane UniversityNew Orleans, Louisiana (USA)",81,81,263.0,140.0,-59.0
"Finance and Economics Department, Graduate School of Business, Columbia UniversityNew York City, New York (USA)",19,19,138.0,78.0,-59.0
"Economics Department, Stern School of Business, New York University (NYU)New York City, New York (USA)",33,33,155.0,93.0,-60.0
"Economics Department, University of Maryland-Baltimore CountyBaltimore, Maryland (USA)",131,131,430.0,191.0,-60.0
"Department of Economics, University of OregonEugene, Oregon (USA)",55,55,219.0,121.0,-66.0
"Economics Department, Darla Moore School of Business, University of South CarolinaColumbia, South Carolina (USA)",111,111,393.0,178.0,-67.0
"Department of Economics, New York University (NYU)New York City, New York (USA)",10,10,141.0,81.0,-71.0
"Department of Economics, University of Texas-DallasDallas, Texas (USA)",95,95,356.0,169.0,-74.0
"Department of Economics, Washington University in St. LouisSt. Louis, Missouri (USA)",43,43,211.0,118.0,-75.0
"Department of Economics, Vanderbilt UniversityNashville, Tennessee (USA)",26,26,177.0,103.0,-77.0
"Department of Economics, Wellesley CollegeWellesley, Massachusetts (USA)",83,83,341.0,161.0,-78.0
"Department of Economics, University of Texas-AustinAustin, Texas (USA)",36,36,201.0,115.0,-79.0
"Department of Economics, W.P. Carey School of Business, Arizona State UniversityTempe, Arizona (USA)",31,31,190.0,110.0,-79.0
"Department of Economics, College of William and MaryWilliamsburg, Virginia (USA)",99,99,397.0,180.0,-81.0
"Department of Economics, College of Business and Economics, West Virginia UniversityMorgantown, West Virginia (USA)",107,107,424.0,189.0,-82.0
"Department of Economics, Southern Methodist UniversityDallas, Texas (USA)",82,82,378.0,173.0,-91.0
"Department of Economics, Pennsylvania State UniversityState College, Pennsylvania (USA)",30,30,224.0,123.0,-93.0
"Economics Department, University of FloridaGainesville, Florida (USA)",108,108,450.0,202.0,-94.0
"Department of Economics, Iowa State UniversityAmes, Iowa (USA)",51,51,291.0,147.0,-96.0
"Department of Economics, Rice UniversityHouston, Texas (USA)",77,77,385.0,176.0,-99.0
"Department of Economics, Rutgers University-New BrunswickNew Brunswick, New Jersey (USA)",39,39,264.0,141.0,-102.0
"Economics Department, Georgetown UniversityWashington, District of Columbia (USA)",25,25,241.0,128.0,-103.0
"Economics Department, Williams CollegeWilliamstown, Massachusetts (USA)",48,48,302.0,151.0,-103.0
"John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson UniversityClemson, South Carolina (USA)",61,61,350.0,165.0,-104.0
"Economics Department, George Mason UniversityFairfax, Virginia (USA)",52,52,331.0,157.0,-105.0
"Department of Economics, State University of New York-Binghamton (SUNY)Binghamton, New York (USA)",87,87,433.0,192.0,-105.0
"Department of Economics, Lerner College of Business and Economics, University of DelawareNewark, Delaware (USA)",75,75,399.0,182.0,-107.0
"Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern UniversityEvanston, Illinois (USA)",94,94,461.0,207.0,-113.0
"Department of Economics, Emory UniversityAtlanta, Georgia (USA)",59,59,407.0,184.0,-125.0
"Department of Economics, University of VirginiaCharlottesville, Virginia (USA)",38,38,343.0,163.0,-125.0
"Department of Economics, Johns Hopkins UniversityBaltimore, Maryland (USA)",34,34,462.0,208.0,-174.0
