,schools,rank,us_macro_rank
0,"Department of Economics, Harvard UniversityCambridge, Massachusetts (USA)",1,1
1,"International Monetary Fund (IMF)Washington, District of Columbia (USA)",3,2
2,"National Bureau of Economic Research (NBER)Cambridge, Massachusetts (USA)",4,3
3,"Federal Reserve Board (Board of Governors of the Federal Reserve System)Washington, District of Columbia (USA)",5,4
4,"Department of Economics, New York University (NYU)New York City, New York (USA)",6,5
5,"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",7,6
6,"Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",9,7
7,"Booth School of Business, University of ChicagoChicago, Illinois (USA)",10,8
8,"Federal Reserve Bank of New YorkNew York City, New York (USA)",11,9
9,"Department of Economics, School of Arts and Sciences, Columbia UniversityNew York City, New York (USA)",15,10
10,"Department of Economics, University of ChicagoChicago, Illinois (USA)",16,11
11,"Research and Statistics Group, Federal Reserve Bank of New YorkNew York City, New York (USA)",17,12
12,"Department of Economics, Stanford UniversityStanford, California (USA)",19,13
13,"Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",20,14
14,"Graduate School of Business, Columbia UniversityNew York City, New York (USA)",21,15
15,"Federal Reserve Bank of St. LouisSt. Louis, Missouri (USA)",23,16
16,"Research Division, Federal Reserve Bank of St. LouisSt. Louis, Missouri (USA)",24,17
17,"Kennedy School of Government, Harvard UniversityCambridge, Massachusetts (USA)",25,18
18,"Finance and Economics Department, Graduate School of Business, Columbia UniversityNew York City, New York (USA)",26,19
19,"Federal Reserve Bank of San FranciscoSan Francisco, California (USA)",27,20
20,"Department of Economics, Northwestern UniversityEvanston, Illinois (USA)",29,21
21,"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",30,22
22,"Economic Research, Federal Reserve Bank of San FranciscoSan Francisco, California (USA)",33,23
23,"Federal Reserve Bank of MinneapolisMinneapolis, Minnesota (USA)",34,24
24,"Federal Reserve Bank of DallasDallas, Texas (USA)",36,25
25,"Federal Reserve Bank of ChicagoChicago, Illinois (USA)",38,26
26,"Peter G. Peterson Institute for International Economics (IIE)Washington, District of Columbia (USA)",39,27
27,"Sloan School of Management, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",42,28
28,"Department of Economics, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",43,29
29,"Department of Economics, University of California-San Diego (UCSD)La Jolla, California (USA)",44,30
30,"World Bank GroupWashington, District of Columbia (USA)",46,31
31,"Economics Department, University of Wisconsin-MadisonMadison, Wisconsin (USA)",48,32
32,"Research Department, Federal Reserve Bank of MinneapolisMinneapolis, Minnesota (USA)",49,33
33,"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",52,34
34,"Federal Reserve Bank of ClevelandCleveland, Ohio (USA)",53,35
35,"Research Department, International Monetary Fund (IMF)Washington, District of Columbia (USA)",54,36
36,"Economics Department, University of California-DavisDavis, California (USA)",55,37
37,"Economic Research Department, Federal Reserve Bank of DallasDallas, Texas (USA)",56,38
38,"Stern School of Business, New York University (NYU)New York City, New York (USA)",57,39
39,"Department of Economics, Johns Hopkins UniversityBaltimore, Maryland (USA)",59,40
40,"Graduate School of Business, Stanford UniversityStanford, California (USA)",62,41
41,"Economics Department, University of MichiganAnn Arbor, Michigan (USA)",63,42
42,"Department of Economics, University of Southern CaliforniaLos Angeles, California (USA)",64,43
43,"Department of Economics, University of MinnesotaMinneapolis, Minnesota (USA)",65,44
44,"Federal Reserve Bank of PhiladelphiaPhiladelphia, Pennsylvania (USA)",66,45
45,"School of International and Public Affairs (SIPA), Columbia UniversityNew York City, New York (USA)",68,46
46,"Wharton School of Business, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",70,47
47,"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",71,48
48,"Economics Department, Dartmouth CollegeHanover, New Hampshire (USA)",73,49
49,"Hoover Institution on War Revolution & Peace, Stanford UniversityStanford, California (USA)",76,50
50,"Department of Economics, University of Notre DameSouth Bend, Indiana (USA)",79,51
51,"Department of Economics, University of Texas-AustinAustin, Texas (USA)",80,52
52,"Federal Reserve Bank of BostonBoston, Massachusetts (USA)",81,53
53,"Kellogg Graduate School of Management, Northwestern UniversityEvanston, Illinois (USA)",82,54
