,schools,rank,us_us_rank
0,"Department of Economics, Harvard UniversityCambridge, Massachusetts (USA)",1,1
1,"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",2,2
2,"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",3,3
3,"Department of Economics, University of ChicagoChicago, Illinois (USA)",4,4
4,"Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",5,5
5,"Department of Economics, Stanford UniversityStanford, California (USA)",6,6
6,"Department of Economics, School of Arts and Sciences, Columbia UniversityNew York City, New York (USA)",7,7
7,"Economics Department, Yale UniversityNew Haven, Connecticut (USA)",8,8
8,"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",9,9
9,"Department of Economics, New York University (NYU)New York City, New York (USA)",10,10
10,"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",11,11
11,"Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",12,12
12,"Economics Department, Dartmouth CollegeHanover, New Hampshire (USA)",13,13
13,"Department of Economics, University of California-San Diego (UCSD)La Jolla, California (USA)",14,14
14,"Department of Economics, Northwestern UniversityEvanston, Illinois (USA)",15,15
15,"Department of Economics, University of Southern CaliforniaLos Angeles, California (USA)",16,16
16,"Department of Economics, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",17,17
17,"Economics Department, University of MichiganAnn Arbor, Michigan (USA)",18,18
18,"Finance and Economics Department, Graduate School of Business, Columbia UniversityNew York City, New York (USA)",19,19
19,"Economics Department, University of California-DavisDavis, California (USA)",20,20
20,"Department of Economics, Boston CollegeChestnut Hill, Massachusetts (USA)",21,21
21,"Economics Department, University of Wisconsin-MadisonMadison, Wisconsin (USA)",22,22
22,"Economics Department, Michigan State UniversityEast Lansing, Michigan (USA)",23,23
23,"Department of Economics, Duke UniversityDurham, North Carolina (USA)",24,24
24,"Department of Economics, Vanderbilt UniversityNashville, Tennessee (USA)",25,25
25,"Economics Department, Georgetown UniversityWashington, District of Columbia (USA)",26,26
26,"Department of Economics, Cornell UniversityIthaca, New York (USA)",27,27
27,"Department of Economics, University of MarylandCollege Park, Maryland (USA)",28,28
28,"Department of Economics, University of California-IrvineIrvine, California (USA)",29,29
29,"Department of Economics, Pennsylvania State UniversityState College, Pennsylvania (USA)",30,30
30,"Department of Economics, University of California-Santa Barbara (UCSB)Santa Barbara, California (USA)",31,31
31,"Department of Economics, W.P. Carey School of Business, Arizona State UniversityTempe, Arizona (USA)",32,32
32,"Department of Economics, Johns Hopkins UniversityBaltimore, Maryland (USA)",33,33
33,"Economics Department, Stern School of Business, New York University (NYU)New York City, New York (USA)",34,34
34,"Department of Economics, University of Notre DameSouth Bend, Indiana (USA)",35,35
35,"Department of Economics, University of Texas-AustinAustin, Texas (USA)",36,36
36,"Department of Economics, University of MinnesotaMinneapolis, Minnesota (USA)",37,37
37,"Department of Economics, University of VirginiaCharlottesville, Virginia (USA)",38,38
38,"Department of Economics, Rutgers University-New BrunswickNew Brunswick, New Jersey (USA)",39,39
39,"Department of Economics, Ohio State UniversityColumbus, Ohio (USA)",40,40
40,"Department of Economics, University of ColoradoBoulder, Colorado (USA)",41,41
41,"Economics Department, University of California-Santa Cruz (UCSC)Santa Cruz, California (USA)",42,42
42,"Department of Economics, Washington University in St. LouisSt. Louis, Missouri (USA)",43,43
43,"Department of Economics, University of WashingtonSeattle, Washington (USA)",44,44
44,"Department of Economics, Andrew Young School of Policy Studies, Georgia State UniversityAtlanta, Georgia (USA)",45,45
