,school_name,overall_rank,rank_urban,us_urban_rank,rank_diff
68,"Department of Economics, Maxwell School, Syracuse UniversitySyracuse, New York (USA)",69,34.0,23.0,46.0
62,"Department of Economics, Tufts UniversityMedford, Massachusetts (USA)",63,48.0,29.0,34.0
39,"Department of Economics, Ohio State UniversityColumbus, Ohio (USA)",40,25.0,17.0,23.0
28,"Department of Economics, University of California-IrvineIrvine, California (USA)",29,11.0,9.0,20.0
3,"Department of Economics, University of ChicagoChicago, Illinois (USA)",4,5.0,4.0,0.0
0,"Department of Economics, Harvard UniversityCambridge, Massachusetts (USA)",1,3.0,2.0,-1.0
69,"Department of Economics, University of California-RiversideRiverside, California (USA)",70,119.0,72.0,-2.0
1,"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",2,6.0,5.0,-3.0
7,"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",8,13.0,11.0,-3.0
2,"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",3,9.0,7.0,-4.0
12,"Economics Department, Dartmouth CollegeHanover, New Hampshire (USA)",13,26.0,18.0,-5.0
44,"Department of Economics, Andrew Young School of Policy Studies, Georgia State UniversityAtlanta, Georgia (USA)",45,75.0,51.0,-6.0
27,"Department of Economics, University of MarylandCollege Park, Maryland (USA)",28,56.0,35.0,-7.0
5,"Department of Economics, Stanford UniversityStanford, California (USA)",6,17.0,13.0,-7.0
122,"Department of Economics, Spears School of Business, Oklahoma State UniversityStillwater, Oklahoma (USA)",123,247.0,131.0,-8.0
4,"Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",5,19.0,14.0,-9.0
19,"Economics Department, University of California-DavisDavis, California (USA)",20,50.0,30.0,-10.0
22,"Economics Department, Michigan State UniversityEast Lansing, Michigan (USA)",23,54.0,33.0,-10.0
71,"Department of Economics, Florida State UniversityTallahassee, Florida (USA)",72,143.0,82.0,-10.0
10,"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",11,32.0,21.0,-10.0
